Date;Time;Severity;TID;This;Function;Message
2025/09/16;17:30:00.816;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.817;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.818;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.830;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.834;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.843;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.851;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.857;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.867;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.871;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.884;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.885;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.898;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.900;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.901;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.912;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.918;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.926;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.934;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.939;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.950;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.953;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.967;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.967;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.968;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.981;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.984;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.994;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.001;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.008;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.017;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.022;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.034;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.036;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.049;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.051;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.051;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.063;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.067;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.077;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.084;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.090;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.100;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.104;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.117;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.118;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.132;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.133;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.134;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.145;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.150;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.159;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.167;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.173;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.183;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.186;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.201;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.202;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.202;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.214;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.217;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.227;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.234;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.241;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.250;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.255;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.267;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.269;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.282;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.284;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.284;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.296;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.300;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.310;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.317;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.323;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.333;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.337;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.350;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.351;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.365;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.367;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.367;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.378;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
